Name,DD.MM
Apollo,08.12
Germana,19.01
Germana,15.06
Ilidia,07.07
Przybyrad,27.01
Przybyrad,15.02
Przybyrad,12.06
Przybyrad,27.12
Kasylda,09.04
Eryk,18.05
Eryk,18.08
Eryk,24.12
Urszula,29.05
Urszula,21.10
Maksymin,29.05
Maksymin,08.06
Maksymin,15.12
Olimpiusz,12.06
Olimpiusz,23.07
Przemir,09.01
Bogodar,27.06
Bogodar,02.07
Bogodar,10.08
Bogodar,09.10
Bogodar,08.11
Samson,27.06
Samson,10.07
Samson,28.07
Hugona,10.08
Felicja,27.04
Felicja,30.09
Julita,18.05
Julita,30.07
Estera,01.07
Zdziesuł,19.07
Otylia,13.12
Strzeżysława,05.02
Szymona,18.07
Małogost,23.10
Merkury,25.11
Samboja,13.12
Eudoksja,01.03
Diodora,03.05
Diodora,11.09
Mucjusz,13.05
Wolisław,16.12
Dobiegniew,20.01
Dobiegniew,30.01
Edgar,10.06
Edgar,08.07
Maksanty,26.06
Maksanty,12.12
Engelbert,10.07
Engelbert,07.11
Malina,24.08
Tarazjusz,25.02
Elfeg,19.04
Elfeg,20.04
Ryta,22.05
Ryta,16.07
Cyryla,05.07
Cyryla,28.10
Świelub,20.08
Bogdał,10.12
Katarzyna,02.02
Katarzyna,13.02
Katarzyna,09.03
Katarzyna,22.03
Katarzyna,24.03
Katarzyna,01.04
Katarzyna,05.04
Katarzyna,06.04
Katarzyna,09.04
Katarzyna,17.04
Katarzyna,29.04
Katarzyna,30.04
Katarzyna,09.05
Katarzyna,04.09
Katarzyna,15.09
Katarzyna,25.11
Katarzyna,31.12
Makaria,08.04
Peregryn,01.05
Peregryn,05.05
Peregryn,16.05
Peregryn,13.06
Peregryn,07.07
Peregryn,25.08
Peregryn,05.09
Zdziebor,05.05
Gostmił,04.06
Drogoradz,18.06
Drogoradz,18.07
Drogoradz,17.11
Zawisza,17.08
Alfons,07.02
Alfons,01.06
Alfons,25.07
Alfons,01.08
Alfons,28.08
Alfons,19.09
Alfons,31.10
Alfons,15.11
Fotyna,06.01
Fotyna,20.03
Fotyna,23.11
Imelda,12.05
Imelda,04.09
Arabella,17.11
Narcyz,02.01
Narcyz,18.03
Narcyz,12.06
Narcyz,17.09
Narcyz,29.10
Narcyz,31.10
Niepełka,04.06
Agrypina,23.06
Laurentyna,17.10
Jordan,13.02
Jordan,14.02
Jordan,15.02
Jordan,06.03
Segolena,24.07
Anita,17.08
Anita,24.08
Anita,06.11
Dargosław,17.09
Dargosław,19.11
Winebald,18.12
Sotera,10.02
Feba,03.09
Gildas,29.01
Tymona,28.07
Marana,03.08
Septymiusz,17.08
Delfin,26.11
Delfin,24.12
Leonid,28.01
Leonid,16.04
Leonid,22.04
Januaria,02.03
Januaria,17.07
Adamnan,23.09
Mamelta,17.10
Dobrzegniew,20.01
Notker,06.04
Jadwiga,14.04
Jadwiga,17.07
Jadwiga,15.10
Jadwiga,16.10
Strzedziwoj,04.05
Nabor,12.06
Karol Boromeusz,04.11
Prokop,27.02
Prokop,25.03
Prokop,08.07
Prokop,04.08
Bakchus,07.10
Bakchus,15.12
Małowid,19.11
Rozamunda,30.04
Adelina,02.09
Zygfryda,15.02
Zygfryda,22.08
Zygfryda,27.11
Dobromysł,22.01
Wergiliusz,05.03
Wergiliusz,27.11
Bratumił,08.09
Achacjusz,02.01
Achacjusz,27.02
Achacjusz,31.03
Achacjusz,09.04
Achacjusz,28.04
Achacjusz,08.05
Achacjusz,22.06
Achacjusz,28.07
Achacjusz,27.11
Tomira,24.05
Cieszybor,04.12
Sebastian,20.01
Sebastian,30.01
Sebastian,08.02
Sebastian,10.09
Sebastian,16.12
Sebastian,31.12
Wincenta,06.11
Wincenta,26.12
Tychik,29.04
Sulpicja,17.01
Sulpicja,29.01
Cieszygor,03.04
Wigilia,19.04
Wigilia,20.04
Ożanna,27.04
Ożanna,18.06
Ożanna,09.09
Wyszymir,28.08
Edda,16.09
Gerald,13.10
Gerald,05.11
Gerald,05.12
Mroczysław,08.01
Pamfil,16.02
Pamfil,28.04
Pamfil,01.06
Pamfil,07.09
Pamfil,21.09
Prudencjusz,06.04
Ruta,01.09
Bolemira,09.09
Kasper,06.01
Kasper,12.06
Kasper,26.09
Smysława,31.01
Mikołaj,02.02
Mikołaj,12.02
Mikołaj,14.02
Mikołaj,16.02
Mikołaj,21.03
Mikołaj,09.05
Mikołaj,19.05
Mikołaj,02.06
Mikołaj,09.07
Mikołaj,10.09
Mikołaj,29.09
Mikołaj,13.10
Mikołaj,13.11
Mikołaj,14.11
Mikołaj,05.12
Mikołaj,06.12
Tolisław,25.02
Plautylla,12.05
Koryna,14.05
Gundolf,17.06
Gundolf,06.09
Przybysław,27.01
Przybysław,27.12
Nadmir,07.03
Cieszysław,17.03
Cieszysław,01.10
Klaudia,20.03
Klaudia,18.05
Klaudia,07.08
Eupsychia,09.04
Eupsychia,07.09
Rutyliusz,02.08
Nunilona,22.10
Mirokles,03.12
Salomon,08.02
Salomon,13.03
Salomon,02.09
Salomon,28.09
Sewerian,23.01
Sewerian,21.02
Sewerian,09.09
Sewerian,08.11
Ksawery,31.01
Ksawery,03.12
Spycigniew,31.01
Lutmiar,26.02
Aaron,02.04
Aaron,13.05
Aaron,01.07
Aaron,09.10
Sekunda,10.07
Sekunda,17.07
Sekunda,30.07
Himisław,12.07
Domosław,15.01
Fredeswinda,19.10
Ermegarda,24.02
Ermegarda,20.03
Ermegarda,16.07
Ermegarda,04.09
Ermegarda,03.10
Jakub,28.01
Jakub,05.02
Jakub,07.02
Jakub,09.02
Jakub,12.02
Jakub,13.02
Jakub,22.02
